BS_ID	SQ_Value
BS_G9XE3N9T	NantOmics
BS_GAGRGSSX	NantOmics
BS_GC3CH9TY	NantOmics
BS_GCA4GET3	NantOmics
BS_GCQFGDTX	NantOmics
BS_GDHH6T5A	NantOmics
BS_GE2RVZE6	NantOmics
BS_GFM6EA61	NantOmics
BS_GG9W3J9Y	NantOmics
BS_GHNJ4CYC	NantOmics
BS_GJNCYABP	NantOmics
BS_GM9Y3AZ5	NantOmics
BS_GMDQK06Q	NantOmics
BS_GMJBGBWB	NantOmics
BS_GNV89A5P	NantOmics
BS_GPEGRCCT	NantOmics
BS_GR46VD0Q	NantOmics
BS_GS1KR5PK	NantOmics
BS_GSVCN2XC	NantOmics
BS_GTZCFGRZ	NantOmics
BS_GV3NZ9QD	NantOmics
BS_GW0GKWMS	NantOmics
BS_GWCRMKE6	NantOmics
BS_GWSJ4Z9H	The Translational Genomics Research Institute
BS_GXTFW99H	NantOmics
BS_GYA4V1RD	NantOmics
BS_GYXSDZ56	NantOmics
BS_H0QWRJE2	NantOmics
BS_H1XPVS9A	NantOmics
BS_H1ZS5FMZ	NantOmics
BS_H3FE3TH9	NantOmics
BS_H3Y8FWHV	NantOmics
BS_H4B5Y6S0	BGI@CHOP Genome Center
BS_H4NXBD2D	BGI@CHOP Genome Center
BS_H8A9PSYA	NantOmics
BS_H97S5SQN	The Translational Genomics Research Institute
BS_HA20Y4XY	NantOmics
BS_HB03GSHF	NantOmics
BS_HBJZR69P	NantOmics
BS_HC44ZA0V	NantOmics
BS_HC5M8JTC	NantOmics
BS_HCP5C912	NantOmics
BS_HD4EJYE3	NantOmics
BS_HE0WJRW6	BGI
BS_HE57E1RP	NantOmics
BS_HF3RNN2T	NantOmics
BS_HHPA8NJ2	NantOmics
BS_HJRTC9JQ	NantOmics
BS_HKZENFDA	BGI@CHOP Genome Center
BS_HQ5BJ6MW	NantOmics
BS_HSHN8PBB	NantOmics
BS_HTEPAKCM	NantOmics
BS_HV8PFRBR	NantOmics
BS_HWGWYCY7	BGI@CHOP Genome Center
BS_HX0S30NE	NantOmics
BS_HZ707C55	NantOmics
BS_HZE3KYZ1	NantOmics
BS_HZRM07TW	NantOmics
BS_J1AB8PMA	NantOmics
BS_J483EMFP	NantOmics
BS_J4GQPZS0	NantOmics
BS_J60G8DMK	NantOmics
BS_J6VKB1VE	NantOmics
BS_J70GK8SM	BGI@CHOP Genome Center
BS_J71N7D09	NantOmics
BS_J8G4SH4Z	NantOmics
BS_J8VX4D17	NantOmics
BS_JAEM78XS	NantOmics
BS_JB43XBCQ	The Translational Genomics Research Institute
BS_JBGZ7HHZ	NantOmics
BS_JCPKYHKY	NantOmics
BS_JFB984RG	NantOmics
BS_JFEZA9KE	NantOmics
BS_JFR750KD	NantOmics
BS_JG9JZTA9	NantOmics
BS_JGA9BP3A	BGI@CHOP Genome Center
BS_JGPR9SR2	NantOmics
BS_JH29M4KG	NantOmics
BS_JHGW42S6	NantOmics
BS_JK0VPG1T	NantOmics
BS_JKXA3FQC	NantOmics
BS_JMHG7GCN	NantOmics
BS_JQVAWTTM	The Translational Genomics Research Institute
BS_JR5ATB7G	NantOmics
BS_JRYJGYC4	NantOmics
BS_JS95PE0J	NantOmics
BS_JSPR854S	NantOmics
BS_JT82QGXF	NantOmics
BS_JTMXAMB7	BGI@CHOP Genome Center
BS_JVA2NQFF	NantOmics
BS_JVW2JJ39	NantOmics
BS_JWCX8R17	NantOmics
BS_JWSR581E	NantOmics
BS_JX449BF5	NantOmics
BS_JX7S9MY7	NantOmics
BS_JXNZYGCR	NantOmics
BS_JZRM1S3T	NantOmics
BS_K17VQECG	NantOmics
BS_K25F4J3V	NantOmics
BS_K2FHZGTK	NantOmics
BS_K2VYFVKZ	NantOmics
BS_K3ER45RV	NantOmics
BS_K5802F84	NantOmics
BS_K74PZET7	NantOmics
BS_K7MVS0Z7	NantOmics
BS_K81DR8XG	NantOmics
BS_KABQQA0T	BGI
BS_KBEX4RT2	BGI@CHOP Genome Center
BS_KBT7MQ6H	NantOmics
BS_KDSTG5YY	NantOmics
BS_KE56MMY0	NantOmics
BS_KEA474HN	NantOmics
BS_KF0ZXDER	NantOmics
BS_KK0JWATQ	NantOmics
BS_KK5C8VCK	NantOmics
BS_KM2EX0K6	NantOmics
BS_KN92S7YQ	NantOmics
BS_KND4B5CW	NantOmics
BS_KP735TJ6	NantOmics
BS_KPT2WPHW	NantOmics
BS_KQ6ZW085	NantOmics
BS_KR4MP5ET	NantOmics
BS_KSKZ9J7J	BGI@CHOP Genome Center
BS_KVAJYZ6F	BGI@CHOP Genome Center
BS_KVNGNETA	NantOmics
BS_KVV7001W	NantOmics
BS_KX6J8TRK	NantOmics
BS_KXCY5BN5	NantOmics
BS_KXH37MPN	NantOmics
BS_KXMYBQ6N	NantOmics
BS_KYF0Q0E7	BGI@CHOP Genome Center
BS_KZPR01BD	NantOmics
BS_M026T44Q	NantOmics
BS_M0QYNVK8	NantOmics
BS_M15PW2N0	NantOmics
BS_M1PVEHCM	NantOmics
BS_M1T1K5WV	NantOmics
BS_M4923M40	NantOmics
BS_M4NVX721	NantOmics
BS_M4TTKPNR	NantOmics
BS_M7HCF7DW	NantOmics
BS_M7QJ8VF0	NantOmics
BS_M84H3KXA	BGI@CHOP Genome Center
BS_M85CXHDV	NantOmics
BS_M86ECPHK	NantOmics
BS_M8EA6R2A	NantOmics
BS_M8M56Z4Y	NantOmics
BS_M8WP5T16	NantOmics
BS_M9C4RY4P	NantOmics
BS_MA1A3GY0	NantOmics
BS_MA2T7ET1	NantOmics
BS_MB7WN0ZB	BGI@CHOP Genome Center
BS_MBSTWZA6	NantOmics
BS_MD3DT41J	NantOmics
BS_MDBT7S5Z	NantOmics
BS_ME3HKN2C	NantOmics
BS_MF47B9ZW	NantOmics
BS_MF9X3PKH	NantOmics
BS_MGAMKKBD	NantOmics
BS_MKM0EEN1	NantOmics
BS_MKP2Y41Z	NantOmics
BS_MM20BVW9	NantOmics
BS_MMNRZ1EQ	NantOmics
BS_MN5XVP5A	NantOmics
BS_MQCKXD60	NantOmics
BS_MT15SGJN	BGI@CHOP Genome Center
BS_MV6ASWV9	NantOmics
BS_MVW01FPB	NantOmics
BS_MWWZBQ60	NantOmics
BS_MX23ZY0Y	NantOmics
BS_MY9D8XZ1	NantOmics
BS_N0877CX1	NantOmics
BS_N1E0H8YQ	NantOmics
BS_N210XMKR	NantOmics
BS_N4B1SZZH	NantOmics
BS_N5B2CZMH	NantOmics
BS_N5DVEJXT	NantOmics
BS_N6N147BY	BGI@CHOP Genome Center
BS_N6NE6B3W	NantOmics
BS_N8J1DP02	NantOmics
BS_NB42PWZN	NantOmics
BS_NB5XWMJT	NantOmics
BS_NB9XXBW6	The Translational Genomics Research Institute
BS_NDC69214	NantOmics
BS_NDFDQBCZ	NantOmics
BS_NDN62H0S	NantOmics
