BS_ID	SQ_Value
BS_TYAYZ9ZW	NantOmics
BS_TYKJ8G2G	NantOmics
BS_TZ5D0A7R	NantOmics
BS_TZVFR600	NantOmics
BS_V0Q1G94N	NantOmics
BS_V3REENH9	NantOmics
BS_V3Z3DB4N	NantOmics
BS_V4W81SFC	NantOmics
BS_V72GX2AZ	NantOmics
BS_V72H4RQS	NantOmics
BS_V7BJM89K	NantOmics
BS_V89HGTET	NantOmics
BS_V96WVE3Z	NantOmics
BS_VA5T4KAA	NantOmics
BS_VAAHBH60	NantOmics
BS_VARR255N	NantOmics
BS_VF5XWFXD	NantOmics
BS_VJ2S5DVS	NantOmics
BS_VJAC9H58	NantOmics
BS_VMEX27TN	NantOmics
BS_VMQMGSJY	NantOmics
BS_VNE0ZPBS	NantOmics
BS_VNK9XYV9	NantOmics
BS_VNKT3ZZS	NOT REPORTED
BS_VNWKNRY4	NantOmics
BS_VP3C8WZT	NantOmics
BS_VPBMDMQX	NantOmics
BS_VR7FR1NE	NantOmics
BS_VVFBW0YH	NantOmics
BS_VVTHDRBD	NantOmics
BS_VW85Q4XJ	NantOmics
BS_VXHWZJDC	NantOmics
BS_W1385R8Y	BGI@CHOP Genome Center
BS_W36RZSFA	NantOmics
BS_W3R88RFP	NantOmics
BS_W3ZSVEVP	NOT REPORTED
BS_W4DB5RP1	NantOmics
BS_W4H1D4Y6	NOT REPORTED
BS_W4HGV6E7	NantOmics
BS_W5X4568N	NOT REPORTED
BS_W60RQAKK	NantOmics
BS_W644VEVE	NantOmics
BS_W6AC5J3C	NantOmics
BS_W72364MN	NantOmics
BS_W7MFJZ5A	The Translational Genomics Research Institute
BS_W80TJC27	BGI@CHOP Genome Center
BS_W97QQYKQ	NantOmics
BS_W9AT0MR7	NantOmics
BS_W9N9844Q	NantOmics
BS_WAXJY4XQ	NantOmics
BS_WCRKYV0T	NantOmics
BS_WFCVBVDS	NOT REPORTED
BS_WFD0GE5X	NantOmics
BS_WG203ECV	NantOmics
BS_WGK8ZMVA	NantOmics
